"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"江成公園　公衆トイレ","大阪市福島区吉野3丁目 17-31","えなりこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.473305000001","34.6918253000004","車いす対応公衆便所"
"吉野町公園　公衆トイレ","大阪市福島区吉野4丁目 12-7","よしのちょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.470789900001","34.6893635000005","車いす対応公衆便所"
"上福島北公園　公衆トイレ","大阪市福島区福島7丁目 23-3","かみふくしまきたこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.486205000001","34.7006473000004","車いす対応公衆便所"
"鷺洲中公園　公衆トイレ","大阪市福島区鷺洲2丁目 4-12","さぎすなかこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.481077900001","34.6967998000004","車いす対応公衆便所"
"新家公園　公衆トイレ","大阪市福島区吉野5丁目 9-29","しんけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.468564600001","34.6874696000005","車いす対応公衆便所"
"海老江公園　公衆トイレ","大阪市福島区海老江7丁目 15-26","えびえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.470210500001","34.6953078000005","車いす対応公衆便所"
"西九条公園　公衆トイレ","大阪市此花区西九条5丁目 4-10","にしくじょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.465242400001","34.6840078000005","車いす対応公衆便所"
"此花公園　公衆トイレ","大阪市此花区春日出北1丁目 5-4","このはなこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.450755700001","34.6823490000005","車いす対応公衆便所"
"梅香公園　公衆トイレ","大阪市此花区梅香3丁目 3-4","ばいかこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.455689500001","34.6811819000005","車いす対応公衆便所"
"春日出公園　公衆トイレ","大阪市此花区春日出南1丁目 2-29","かすがでこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.457674300001","34.6793816000005","車いす対応公衆便所"
"西九条西公園　公衆トイレ","大阪市此花区西九条4丁目 4-18","にしくじょうにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.463884800001","34.6819335000005","車いす対応公衆便所"
"梅香東公園　公衆トイレ","大阪市此花区梅香1丁目 3-5","ばいかひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.459735200001","34.6822589000005","車いす対応公衆便所"
"高見公園　公衆トイレ","大阪市此花区高見1丁目 5-18","たかみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.458453100001","34.6915177000005","車いす対応公衆便所"
